ncurses-bin	6.6+20260608-2	amd64
net-tools	2.10-2	amd64
netbase	6.5	all
netcat-openbsd	1.238-1	amd64
nikto	1:2.6.1-0kali1	all
nmap	7.99+dfsg-1kali1	amd64
nmap-common	7.99+dfsg-1kali1	all
nuclei	3.11.1-0kali1	amd64
ocl-icd-libopencl1	2.3.4-1+b1	amd64
oletools	0.60.2-0kali1	all
openssl	3.6.3-1	amd64
openssl-provider-legacy	3.6.3-1	amd64
oracle-instantclient-basic	19.6.0.0.0-0kali5	amd64
passwd	1:4.19.3-2	amd64
perl	5.42.2-3	amd64
perl-base	5.42.2-3	amd64
perl-modules-5.42	5.42.2-3	all
perl-openssl-defaults	7+b2	amd64
pocl-opencl-icd	7.1-9	amd64
polenum	1.7-1	all
postgresql	18+290	all
postgresql-18	18.4-1+b2	amd64
postgresql-client-18	18.4-1+b2	amd64
postgresql-client-common	290	all
postgresql-common	290	all
procps	2:4.0.6-3	amd64
publicsuffix	20260725.1419-1	all
python3	3.14.6-1	amd64
python3-aardwolf	0.2.8-0kali3+b2	amd64
python3-aesedb	0.1.4-0kali1	all
python3-aiocmd	0.1.2-0kali1	all
python3-aioconsole	0.8.2-1	all
python3-aiodns	4.0.0-0.1	all
python3-aiofiles	25.1.0-2	all
python3-aiohappyeyeballs	2.7.1-1	all
python3-aiohttp	3.14.1-4	amd64
python3-aiohttp-socks	0.11.0-1	all
python3-aiomultiprocess	0.9.1-0kali1	all
python3-aioquic	1.3.0-1	amd64
python3-aiosignal	1.4.0-1	all
python3-aiosmb	0.4.4-0kali2	all
python3-aiosqlite	0.21.0-1	all
python3-aiowinreg	0.0.7-0kali1	all
python3-annotated-doc	0.0.4-2	all
python3-annotated-types	0.8.0-1	all
python3-anyio	4.12.1-3	all
python3-arc4	0.4.0-0kali1	amd64
python3-argcomplete	3.7.0-1	all
python3-asciitree	0.3.3-4	all
python3-asn1crypto	1.5.1-3	all
python3-asn1tools	0.166.0-0kali3	all
python3-asyauth	0.0.20-0kali1	all
python3-async-timeout	5.0.1-4	all
python3-asysocks	0.2.12-0kali1	all
python3-attr	26.1.0-1	all
python3-autocommand	2.2.2-4	all
python3-backoff	2.2.1-2	all
python3-bcrypt	5.0.0-6	amd64
python3-bitstruct	8.22.1-1	amd64
python3-blinker	1.9.0-2	all
python3-bs4	4.15.0-1	all
python3-censys	2.2.19-2	all
python3-certifi	2026.7.22+ds-1	all
python3-cffi-backend	2.1.1-1	amd64
python3-chardet	5.2.0+dfsg-2	all
